id,description,name,host_id
743981,"This is a new self-catered studio situated in a hip upcoming neighbourhood of the center of Ghent.  Ideal for 1 person or couple.  Erasmus or PHD student.  With private kitchen and bathroom (shower, toilet, lavabo).  Fully furnished and equipped kitchen.  The space This is a new self-catered studio in the center of Ghent. Windows in the front and the back.  Fully equipped kitchen with fridge, combi-oven, ceramic hob and coffee machine.  The bathroom is equipped with lavabo, toilet and big shower 85 x 120.  The big desk makes it possible to do some office work. The studio remains always spacious because of the smart bed solution.   Ideal for a touristic or business stay for short or long term.   Please feel free to contact us if you have any questions  Guest access The studio is on the first floor.  There is a bike storage room on the ground floor. There ar 6 studio's in the building. Two on ea",Black & White studioA central Ghent,1328011
782514,"In a very quiet park environment a 50M2 studio with bathroom, bedroom and kichinette. View on a big garden. 2km from railwaystation ""Gent Dampoort"". Small supermarket, butcher, bakery and Pharmacy in walking distance. Summer swimming pool.  The space In a very quiet park area a fully equipped 50sqm apartement with livingroom and kitchenette , bathroom and bedroom. Separate private entrance. View on the big garden. Summer swimming pool. 2 km from Dampoort Gent Railway station. Bus stop 5 min walk. Shops bakery, butcher, pharmacy, small supermarket in walking distance. Wi-Fi.",Garden studio,3644609
835795,"The space Want to stay for a weekend midweek or longer period in one of the most beautiful cities in Belgium ?  We offer you a furnished studio with fully equipped kitchen and bathroom. All this located in a historic building in the heart of the old town.  The studio is ideal for 2 persons, but can also be used for a family with 2 little children (up to 12 years old)   Our price includes:  Heating, electricity and water Wireless broadband internet  Bed linen and towels Cleaning at the end of your stay  The city tax of 3€ per person per night needs to be paid on arrival.",Koestraat 46,4369972
878177,"The space Waking up in the middle of the city, in a mansion with coach house, part of a former cloister of wich beautiful remainders still can be seen.  Let yourself be carried away with what Gent has to offer, all within walking distance.  You can enjoy the beautiful patio, green and quiet.  Spacious room with double bed, kitchen, table and chairs, relax area with TV, radio and WIFI.  The room has a bathroom with shower, washbasin and toilet.  Bicycle shed.  The accomodation is in the center of Ghent, close by the romantic riversides 'Graslei' and 'Korenlei'.    website: www.slapen-in-gent.be",Bed & Breakfast Geertje Henckens,4640769
879417,"The space Place2stay offers luxury studio's, a penthouse suite with terrace and a 2-bed room apartment for rent on short term in the historical city centre of Ghent. The 2-bedroom apartment (115m²) is fully furnished and equipped with all modern comfort: Large dining table & kitchen with microwave, grill, oven, furnace, fridge & freezer and dish washer; Lounge area with flat screen tv; office area with free wifi internet access; Personal bathroom with double lavabo and bath tube; Individual central heating; Videophone. There are two seperate bed rooms with double bed. Ideal for 2 couples of friends or family. There is possibility to add an additional 1 pers bed or babybed in one of the bed rooms.  We are located in the historical heart of the city centre of Ghent. The city centre of Ghent is pedestrian area - traffic free - but our studio's & penthouse can be reached by car with parking on the square or in the underground parking of the Vrijdag",2-bedroom furnished apartment-Ghent,1003009
887716,"Self-catered studio on 3th floor with extra mezzanine. Ideal for 1 person or couple.  Erasmus or PHD student.  Sleeping on mezzanine.  With private kitchen and bathroom (shower, toilet, lavabo).  Fully furnished and equipped kitchen.  The space This is a new self-catered  studio in the center of Ghent. Totally independent. Windows in the front and the back.  Fully equipped kitchen with fridge, oven and hob.  The bathroom is equipped with lavabo, toilet and shower.  The desk makes it possible to do office / study work. There is a double bed  on the mezzanine. Ideal for a touristic, educational or business stay for short or lang term.  Please feel free to contact us if you have any questions  Guest access The studio is on the 3th floor.  There is a bike storage room on the ground floor. There ar 6 studio's in the building. Two on each floor.  Other things to note At the start of the ",Duplex studio F central Ghent,1328011
924683,"We offer you an apartment in the Oude Houtlei 13C. The flat is located in the heart of the old city at 5 minutes walking distance of the Graslei and Korenlei and the Castle Gravensteen but still the location is very quiet. The apartment is situated in an old schoolbuilding that has recently been renovated with respect for the old details. With its high windows facing south is an oasis of light and space.  The space We offer you an apartment in the Oude Houtlei. The flat is located in the heart of the old city at 5 minutes walking distance of the Graslei and Korenlei and the Castle Gravensteen but still the location is very quiet. The apartment is situated in an old schoolbuilding and is completely renewed.  The decor is tasteful and there is a fully equiped modern kitchen. The apartment provides sleeping accommodation and comfort for two people but for shorter stays it is possible to accomodate one or two children. The price includes bed linen, towels, sheets",Perfect apartment centre of Ghent,4974034
950284,"Studiomie One Room Hotel is a creative and unique place to stay in the centre of Ghent.  You sleep in a refined furnished sea container high above the ground. This place exudes design, culture and styling. All your senses are tickled. Here you feel like experiencing more, .... more Ghent.  Mieke, Ward, Warre and Roos wish you a warm welcome!  The space Room with a view Sleep container with a King-sized bed of 2/2m and Egyptian cotton bedlinen / bathroom with shower, bath towels, toilet, hairdryer and Likami bath products / breakfast area with Nespresso coffee, tea, water, fridge / sunny terrace / free WI-FI / TV ​ Breakfast We recommend Franz Gustav, a place for a delicious breakfast in our street. Prefer to have breakfast in your pyjamas? Bring your own breakfast and keep it fresh in the fridge. The room has a nice crockery set, a toaster, Nespresso coffee and tea.  ​ Location *Hstoric centre i","Studiomie One Room Hotel, a wonderful place!",5155260
1018048,"Central though quiet location. Spacious studio on upperfloor. Nice view from kitchen onto garden and park.Historical centre just round the corner.  The space The studio consists of two large airy , bright rooms on the topfloor of our house.  The kitchen-dining area overlooks our garden and the adjoining park. Next to it is a (to be fair) small bathroom with shower. The bedroom is on the streetside. It is very spacious. There s a foldable guestbed in case of three persons. There is television, a desk and free Wifi. Towels and bedlinnen are provided. Breakfast on demand. Free tea and coffee. We also provide guides and maps to the city. The studio is located in a quiet street near the city centre. The castle is a five minute walk. The studio is two flights of stairs up but we ll insist and carry your luggage upstairs. All part of the service. Fresh Fruit , bottled water and local beers are offered as a warm welcome. Free coffee & tea.<br","Large airy studio, central location",5600970
1121033,"The house is located in the historic center of Ghent, where the birds eagerly whistle, the children are playing in the street, the neighbours know each other by name and cars are endangered species.  The space Spacious room with double bed under the stars,  between the clouds.   Luxurious marble bathroom with bath and shower.  Cozy kitchen overlooking the courtyard equipped with oven, stove, fridge and freezer.  Living room with  comfortable sofas, stereo and plenty of reading material.  Sunny terrace with dining table, 2 hammocks    The house is located in the historic center of Ghent, where the birds eagerly whistle, the children are playing in the street, the neighbours know each other by name and cars are endangered species.  All this in a minute walk from the 'Gravensteen' castle and the Graslei. Near 'Prinsenhof' lays 'Patershol', a neighborhood known for its many restaurants, cafes and pi",'Knighty night' at Prinsenhof,6150298
1135017,"A very comfortable and spacious apartment in a quiet street at only 500m from the castle and historical Graslei.  The space This brand new 4+2 apartment is located in the heart of the Ghent nearby the castle and historical Graslei. The famous towers, small restaurants and shopping areas are all within short walking distance.  It is a very comfortable apartment in a quiet street.   The apartment has 2 bedrooms with each luxurious box spring beds that can be separated into 4 single beds in total, a bathroom with walk in shower, bath and a fully equipped open kitchen. The living room has 2 sofas of which one is a comfortable double sofa bed. Free use of digital TV and WiFi. Large windows generates a lot of natural light. The solid wood furniture gives the apartment a warm feeling.  You can expect a very comfortable stay right in the heart of the exciting city. The apartment is so centrally situated that you can visit almost everything within a ver",RAAMHOF  top location / spacious / comfy beds,6226459
1141163,"Modern, cosy and stylishly equipped flat with all comforts and kitchen. Located in a quiet and pleasant neighbourhood. Park your car right outside the door while being perfectly located to the bustling city centre. Feel free to move from your new base with our two bikes. This way you will not only discover the idyllic spots in the suburbs but also the nearby nature.  The space Very clean, modern and stylish flat perfect for a comfortable stay in the city.  Make yourself comfortable in the warmly decorated living room. Adjust the mood light to your liking and watch from your lazy sofa your favourite programmes on TV with free selection of movies. Stay in touch with home via the free Wi-Fi and high-speed internet or play a board games or browse the bookshelves.  Feel right at home in the fully equipped kitchen with dishwasher, oven, microwave, fridge with freezer, Senseo coffee machine, kettle, toaster... Upon arrival you will find a bo",Stylish and comfortable apartment downtown Ghent,5082339
1159353,"Quiet and yet in walking distance from the city center. Comfortable space for 1 to 4 people. Your kitchen, living room and bathroom. Supermarkts, restaurants, park, museums around the corner. Welcome! :-)  The space You want to know if this apartment is clean, safe, cozy, roomy, friendly, and conveniently located, right? The answer is yes, to all of that!  In a nutshell: ------------------ - complete appartment with kitchen and garden - riverside location, quiet area - historic city center at 2km (nice walk!) - also in walking distance: supermarkets, train station, bus station, park, college & university  - free wifi - friendly and helpful hosts ;-) - we give 10% of our income from airbnb to an organisation that cares and finds new homes for abandoned and lost cats - animal friendly  Some highlights:  - great location in Ghent, at 2 km (20 min. walk) from the city centre. Short walk to bus ",Big & cosy riverside apartment,1774984
1222069,"The old monastery we live in is located in the centre of Gent in a quite neighborhood. We renovated it for 18 years. We are looking forward to welcome you! Ruth&Etienne  The space Hello welcome in Belgium / Ghent :)  Etienne and I live in the city centre of Ghent, in an old monastry. From our house it's only 10 minutes walking to the old center or the St-Baafscathedral, one of the famous 3 towers of Ghent. Ghent has a central location in Flanders. Antwerp and Brussels at 50 km and Bruges at 30 km. All cities are easy to reach by train.   We can offer you a room with double bed, (+baby bed), internet, and a private bathroom. In your room you'll find everything you need: towels, soap, coffee, tea, water.  By arrival you're offered a coffee or tea, beer or a wine,.. to welcome you.  We arrange a nice BIO/ORGANICbreakfast in the morning, if the weather is nice, you can sit in our garden. We love traveling around, which is reflec",B&B Marie Reine in old Monastry,5456443
1271802,"Completely renovated room with pleasant bathrooms (used exclusively by guests) + kitchen corner. Situated in pleasant neighborhood, close to the trainstation and close to city center (so ideally located Ghent, Bruges, Antwerp and Brussels to explore)  The space THIS SPACE AND COMFORT IS AVAILABLE FOR YOU: You have access to 1 or 2 separate rooms:  each with a upstairs a cosy sleeping place with a bed of 1.40 m and clothes rack. ""Downstairs"" (2nd floor) theres a couch, a table with 2 chairs and a desk. In the other room the couch can be transformed to an extra bed. (This happens only when you are with more than 4 people.)  There is 1 private bathroom with shower, seperate toilet and a little but practical kitchen corner for these two rooms.  Everything is newly renovated: The first guest stayed here in august 2013.  OTHER GUESTS ? To keep the tranquility for the permanent residents and guests as much as possible I n","cozy bedroom, private bathroom",6922134
1339383,"A white house on a quiet street in a medieval quarter, Number 11 offers private accommodation in the fascinating historical town of Gent. Two self-contained units* - '11 Apa Above' and '11 Studio below' - can be booked together or separately. Your studio is on the ground floor.  The space Prefer your own independent place in town?  Come and stay with us : we offer you a charming studio with bedroom, bathroom, kitchenette & small patio on the ground floor of a 18th century house, right in the middle of Gent's historic center of 'Patershol' : an exciting and cosy neighbourhood, little alleys, medieval streets and castle, a choice of 250 kinds of beer, surprising cultural walks, unique restaurants, sauna and a nightshop, all just next door.  More info : Lonely Planet Belgium and Luxembourg June 2010 - pag 166  Guest access The studio is on the ground floor and completely individual.  Other things to note<br /","Heaven@11, your charming studio in historic Gent.",7258638
1354090,"I love the impossible carpet in the room. It was a challenge to elevate the room to a space where you can come and relax and use as a 'basecamp' to explore the city. Upcycled furniture, design and some homemade original photography make this a beautiful room for a couple of days.  For cycling fans; you can leave your city bike safely away from the street, locked in the back of the building, for fans of Ronde Van Vlaanderen, leave them overnight safely next to your room in the apartment.  Welcome  The space I can accommodate one or two people that want to visit the beautiful vibrant and -at the same time- historic city of Ghent. My apartment has a spacious extra bedroom and is fully furnished in an unique way, you will see when you come and spent some time here.  It is situated in the Centre of the City of Ghent. the city centre and its major attractions can all be reached by foot in ten to 15 minutes. The apartment is easily reachable from trai",Beautiful calm room in centre of Ghent/Gent,7349426
1368957,"Cosy, spacious room in lofty renovated house. Great location: - 10' biking to historic city center - city park, supermarkets, night shop, public transport... within walking distance - easy access to motorways E17 and E40  The space The spacious guest room is located on the 1st floor next to the shared bathroom.  Available pro's: -lots of daylight (morning sun) -vintage 3 quarters bed (120x190cm) with very good matras (narrow but cosy) -working desk  -lots of  storage space -books and city guides -carafe of water, fresh towels and some amenities in case you have forgotten them...  Guest access I share my bathroom (1st floor) and guest toilet (ground floor). You can use the kitchen to prepare some basic food, hang out in the living room or enjoy the terrace.  Other things to note I am not always around but you can easily get in touch by sms, whatsapp and email.",Private room near Gent city center,6747265
1378568,"The bedroom has a view over the park. There is a lovely and quiet atmosphere in the house. The house is located 15 minutes from the city centre and 8 minutes away from Station Dampoort.  The space Out of the guest room you can look to the parc, the trees and hear the birds singing. The room is under the rooftop and is 36 square metres big. You can find your total privacy in the room. There is a small sitting place, you can make coffee, tea and your own breakfast. You also have your own private bathroom. So when you are in the room you can cocoon.  Guest access The room is totally and only available for the guests. In summertime they can make use of the garden and the park to make a nice walk.",Beautiful Park View,7467550
1418588,"Our modern, detached house has four bedrooms, a big state of the art kitchen, a big, fenced garden and a heated swimming pool (not in winter). Ideal for a holiday with friends or family, near the historical cities fo Ghent, Brugges, Antwerp and Brussels.  The space Four bedrooms easily sleeps 8 people. More guests can be managed on demand.  There are 2 bathrooms, a separate shower and 3 toilets.  We provide bedlinen, towels, toiletpaper...  Bicycles available on demand, also for small kids. Children's toys available.  Guest access The whole house","Modern house w pool,near Ghent,2-8p",7640576
1425838,"The space The room is located in a charming guesthouse, surrounded with an oasis of tranquil atmosphere, only a  10 minutes bikeride away from the historic heart of Ghent . The room is simple but warmly decorated, all with free WiFi. The  bathroom has a shower, hairdryer, toiletries and fresh towels. This guesthouse is family friendly! If asked in advance, the'll be happy to place a baby bed. Guests can use a separate garden  and complimentary bicycles.  There is a simple kitchenette availible with a microwave, coffee maker, refrigerator, and waterboiler.. (Fairtrade coffee and tea always available)  public transportation 3 minutes walk.",Cosy room in green area,6976593
1482891,"Located in a very calm street, at about 2 km  from the town centre, on feet 25 minutes walking Transport to city centre: by bus #3 or #6 in 15 minutes,  by bicycle in 10 minutes Close to the river Scheldt perfect to enjoy biking  Excellent connections (bus, train, car) to visit the Flemish art cities Bruges, Antwerp, Brussels No kitchen, no breakfast, but many options available Registered  listing  The space The house is built in 1932 in a local art deco style, with balcony and garden.  The guest room is located on the first floor and consists of a bedroom with a small living and bathroom, with washstand, shower and toilet.  Guest access Guests will have exclusive access to the complete first floor.  Other things to note No kitchen, no fridge, no breakfast, cooking not allowed. We will be there most of the time, whatever yo need to know, please ask us.","Private floor with bedroom, bathroom and living",2091743
1607894,"Completely renovated room with pleasant bathroom (used exclusively by guests) + kitchen corner. Situated in pleasant neighborhood, close to the trainstation and close to city center (so ideally located Ghent, Bruges, Antwerp and Brussels to explore)  The space THIS SPACE AND COMFORT IS AVAILABLE FOR YOU: You have access to 1 or 2 separate rooms:  each with a upstairs a cosy sleeping place with a bed of 1.40 m and clothes rack. ""Downstairs"" (2nd floor) theres a couch, a table with 2 chairs and a desk.  (This room was finished and furnished in oktober 2013.)   There is 1 bathroom with shower, seperate toilet and a little but practical kitchen corner for these two rooms. The bathroom and kitchencorner are for exclusive use by the guests.   This advertising offers one of the 2 available rooms.  When you make a request for reservation, I let you know if the bathroom and the kitchen corner will be shared with one or two other gues",Spacious duplex (shower + kitchen),6922134
1627743,"Our apartment on Belfortstreet is located on the corner of Vlasmarkt, right next to Sint Jacobs which puts in right in the middle of the of vibrant, historic Ghent. At  walking distance of Gent Dampoort train station, close to all tourist attractions, bike rental and with a very good connection to public transport. Hungry of thirsty? You will not have to go searching far. The apartment has all modern comfort: free  WiFi and cable television, a fully equipped kitchen.  The space Band Resort is a recently renovated apartment in a residential building (respect for the neighbors is   a must). Maximum occupancy is 9 adults (incl sofas in living room). There are two bedrooms with a double bed, one room with a double and a single bed and two extra sofa beds in the living room. On top of that you have a fully functional kitchen, a large dining table and TV corner, two separate bathrooms with toilet, washbasin and shower, free WiFi and cable television. The windows have ac",band resort 0.1,8651909
1638170,"The space Very cosy studio on the ground floor of a 17th-century house consisting of a living room, kitchen, bedroom with double bed and a bathroom. It is possible to place an extra bed in the living room.  The house is easily reachable with public transport and is at five minutes walking distance from the center. There are many shops, restaurants and pubs in the neighbourhood.",Spacious studio in center of Ghent,879188
1710185,"Looking for a stylish brand new  duplex apartment / private house(±100m2) with private garden and garage for business or holiday then you are at the right place. We welcome you in our luxurious residence and hope you’ll enjoy the contemporary architectural design.  The space Area: The house ( max. 4 persons + 1 baby) is located just 'outside' but close to the city centre, which offers the advantage of tranquillity and easy access by car or public transport. A 15 min. walk through the central park will take you to the centre of Ghent. The area is multicultural and often called the Brooklyn of Ghent, especially young and creative talent has recently moved to this part of town. There is a supermarket, postpoint, bakery, pharmacy, restaurants, grocery and news agents just around the corner. You can relax in the enclosed private garden or at different parks and the nearby waterfront. This house includes one parkingspace in our private garage.  Covered patio/l",Design house with garden and private free garage,9022623
1720808,"The space Beautiful loft in the city centre, located 200m from train station, this is a perfect place to be comfortable and explore the city on foot.  Master and three kids rooms, open fireplace, a private courtyard,and a big bath, you're bound to relax.  Our artist loft is part of a charming and communal project with a shared spacious garden for the community. The loft is an architectural beauty which has been published in Architectural Yearbook Flanders.  It has it’s own private courtyard. It is a refurbished warehouse and other units are occupied by architects and designers. It is a great place to live. It is ideal for a family with young children.  Ours are 14,  8 and 6 years old.   All facilities of the house can be used. There is wifi, television and a sonos system.  It is a multi-cultural neighborhood in the city centre - so, if you're looking for it, there is a lot to do.  it is very convenient as to public transport and in th",unique loftspace with garden,9071229
1723685,"My apartment is situated very close to the heart of the city, on the second floor of a 4-store building. There are 2 bedrooms with in each a double bed, basic bathroom with toilet and shower, fully equipped kitchen, sunny living room, small terrace overlooking peaceful gardens. NO ELEVATOR! Central heating in every room, wifi, washing machine, television, DVD-player, CD- and recordplayer; cd's and lp's to listen to, lots of books. Nothing fancy, but clean, practical and cosy.  The space the location: the historical centre is at 500 metres quiet little terrace on the back (south side) suitable for 2 persons  year of construction: 1950, renovated in 2008  surface: 80 m² -  Guest access No shared spaces. The apartment is completely at your disposal.",warm and cosy 2 bedroom appartment central Gent,9072131
1754719,"The space Stay in the heart of Ghent ideal for larger families with every comfort.  Guest access Full apartment wit living room + open kitchen, 3 rooms and 2 bathrooms.  Other things to note No party apartment. The band apartment is a strictly no smoking zone. Please keep it civilized. The rooms are clean upon arrival and we’d like to have many friends or families enjoying their stay after you have left. On the top floor there’s a family living their lives outside of the rock ‘n’ roll fantasy world. Please try to respect their peace and quiet (Important). Check out is no later than 12 o’clock. (unless otherwise agreed upon). Breakfast is not included in your stay, please have a look at the many bakeries in the neighborhood. Underground parking facilities are nearby, try ""Vrijdagsmarkt"" with walking distance 2'. Nearest train station is Ghent Dampoort, 10' walk to apartment. all towels and sheets at the entrance of you're stay befo",Band Resort 1.1. - Rent Appartment,9228510
1790941,"We offer you an apartment in the Oude Houtlei 13C. The flat is located in the heart of the old city at 5 minutes walking distance of the Graslei and Korenlei and the Castle Gravensteen but still the location is very quiet. The apartment is situated in an old schoolbuilding that has recently been renovated with respect for the old details. With its high windows facing south is an oasis of light and space.  The space The apartment is situated in an old schoolbuilding and is completely renewed.  The decor is tasteful and there is a fully equiped modern kitchen with washingmachine, dryingmachine and dishwasher. The apartment provides accommodation and comfort for two people but for shorter stays it is possible to accomodate one or two children. The price includes bed linen, towels, sheets, internet connection, digital television and a weekly cleaning service. For every stay there is a welcome packet of food provided but no breakfast.  Guest access</b",CLEAR AND LIGHTFULL APARTMENT CENTRE OF GHENT,4974034
1858310,"Welcome in our small but cosy studio situated on the top of our house! Sarah, Henna and I live right between the train station and city center. With a spacious shower, cosy living-room, well equipped kitchen and comfortable mezzanine you will feel like home. Sharing in common only the main door and stairs,  you remain completely independent. Helping you with music, books, info about Ghent and instant conversation, we want you to feel at home. There is good parking possibility at 800m (3 €/day).  The space This studio is located in a typical middle class house of Gent. On top of the house, a small loft studio is waiting for new Airbnb-guests! I have renovated it with help of my friends from Moupila (architecture and design) and some other professionals. It has definitely become the best place of the house and it has character and an original style. Regularly, I add something or try to improve it. The ground-surface is only 40m2 but it feels big because the bedroom ","Sunny duplex, small and all-in loft studio",9696770
1894366,"We offer in the Middle of Ghent a very spacious   and fully equipped apartment (45m²) located on the 2nd floor of a renovated 19th century neoclassical mansion.  The space Enjoy all modern confort including a luxurious private bathroom/shower, fridge and microwave, digital TV, Free Wireless Broadband Internet in a very spacious and very quiet setting in the very heart of the city. Parking and all major attractions - 3 Towers, Graslei, Vrijdagsmarkt, Patershol - are on less then 5 minutes walking distance. Within the immediate neighbourhood you will find plenty of excellent restaurants, clubs, bars and cultural activities (opera, theatre)  Guest access Possibility to add 1 extra bed. Price: 15 euros/1 bed/night.",Spacious Apartment in centre Ghent,9844612
1981738,"We offer a back house with studio, private toilet and private bathroom. All newly installed, well isolated and very private. Connected with main house through a veranda which you can use to relax, our back-house is ideal for short and mid-term stays. Leave your car and hop on the tram (at 100m) or walk to discover an alternative Ghent.  The space The (your) back house is connected (by your veranda and private toilet) with the (our) main house but stands alone, making it isolated and very private. Enjoy the private new bathroom with 2p bath on ground level and the studio on the 1st floor. Through the veranda you have access to your private toilet. We can add a matress/bed for 1 child/baby.  Guest access Loft has free Wifi, small hifi with minijack, HD cable TV  and personal fridge. You do not have a kitchen but feel free to use our kitchen to heat a meal. We provide basic dishes and cutlery which you can put in our dishwasher. All inside ",Small loft + private bathroom,10225820
2031176,"Our recently renovated 2 bedroom apartment is at walking distance from Ghent center. Free wifi, living room with sofabed and comfortable boxspring beds in the bedrooms. Close to public transport and within one hour drive from Bruges, Antwerp and Brussels.  The space The apartment has a well equipped kitchen (with microwave, oven, stove, dishwasher), two bedrooms with boxspring beds and a bathroom. Children are welcome. On request, we provide a cot and high chair.  Guest access We only accept reservations for a minimum of three nights. We ask the customers the expected arrival time and ask them to call half an hour before they actually arrive, so we can be there upon their arrival. For arrivals after 9PM, we provide a code to the keybox, and agree on a timing to pass by the next day.  Other things to note Tourist tax of 2,83 euro per adult per night charged seperately Bed linen is included, towels are not. ",Modern flat 2 bedr close to  center,10429259
